AMEC,19,1070
AMET,10,628
AMFG,26,2682
Active Mining,6,81
AMiRE,7,341
AMKM,12,429
Adaptive Multimedia Retrieval,4,52
AMS,4,57
AMT,7,227
Active Media Technology,10,237
AMTA,17,1524
ANLP,50,12067
Artificial Neural Networks,3,83
Conference on Analysis of Neural Network Applications,5,56
ANNES,11,410
ANNs,1,3
ANNIIP,4,22
Annual Simulation Symposium,24,2321
Ant Algorithms,20,1368
ANTS,11,437
ANTS Conference,12,872
ANTS Workshop,24,9589
AOIS,11,374
AOIS@AAMAS,6,173
AOIS@CAiSE,7,268
SPLAT,5,55
AOSD,20,1178
ACP4IS,6,87
VMIL,4,48
AOSE,12,508
AP2PC,11,1020
APAQS,14,765
APBC,19,1478
APCCM,13,701
APCHI,9,364
APDC,10,294
Applications in Parallel and Distributed Computing,6,151
APL,5,135
APLAS,13,608
Application and Theory of Petri Nets,40,5098
ICATPN,30,3663
Applications and Theory in Petri Nets,9,531
Applications and Theory of Petri Nets,25,3048
Advances in Petri Nets: The DEMON Project,9,701
Selected Papers from the First and the Second European Workshop on Application and Theory of Petri Nets,7,417
European Workshop on Applications and Theory of Petri Nets,17,1342
European Workshop on Applications and Theory in Petri Nets,19,1340
Unifying Petri Nets,8,209
Application of Petri Nets to Communication Networks,6,136
APNOMS,8,254
Applied Informatics,11,671
APPROX,24,1844
APPROX-RANDOM,16,1455
APPT,7,231
APSEC,14,799
PacificVis,17,1075
InVis.au,18,795
APVIS,15,684
APWeb,9,440
APWeb Workshops,4,54
APWeb/WAIM Workshops,9,320
Arbeitsplätze morgen,0,0
ARCS Workshops,5,132
ARCS,8,231
Computer Architecture,2,45
PASA,3,27
ESPRIT ARES Workshop,9,242
ArgMAS,10,315
IEEE Symposium on Computer Arithmetic,16,729
ARTDB,12,451
Art-QoS,6,65
ARTS,17,1127
ARVLSI,19,1357
ASAP,14,809
Artificial Intelligence and Soft Computing,5,114
ASCILITE,14,985
ASIACRYPT,28,2986
AUSCRYPT,22,2496
ASIAN,13,715
Coordination Technology for Collaborative Applications,8,309
AsiaSim,8,232
ABZ,10,286
Abstract State Machines,16,912
Workshop on Abstract State Machines,6,90
Answer Set Programming,16,1059
ASP-DAC,25,3908
ASPLOS,31,3600
GPGPU,15,618
ASID,9,322
PLOS,6,72
MSPC,5,69
International ACM Conference on Assistive Technologies,25,1691
ASSETS,18,1390
Assistive Technology and Artificial Intelligence,12,689
ASST,4,69
ASWC,18,1373
Australian Software Engineering Conference,12,611
ASWEC,16,797
ASYNC,6,98
AAMAS,22,3314
ATAL,37,5755
Agents and Computational Autonomy,9,276
Engineering Self-Organising Systems,19,1117
"Trust, Reputation, and Security",10,413
AAMAS Industrial Applications,12,529
Communication in Multiagent Systems,13,1738
Trusting Agents for Trusting Electronic Societies,9,234
